2022-06-10T10:39:09.892664300 null 0.00 0.00 
2022-06-10T10:40:12.607074300 null 0.00 0.00 
2022-06-10T10:40:15.771347600 null 0.00 0.00 
10/06/2022 10:48:16 null 0.00 0.00 
10/06/2022 10:48:16 null 0.00 0.00 
10/06/2022 10:50:03 null 0.00 0.00 
10/06/2022 10:50:03 null 0.00 0.00 
10/06/2022 10:51:34 null 0.00 0.00 
10/06/2022 10:51:34 null 0.00 0.00 
10/06/2022 12:12:05 null 0.00 0.00 
10/06/2022 12:12:05 null 0.00 0.00 
10/06/2022 12:13:33 null 0.00 0.00 
10/06/2022 14:28:24 null 0.00 0.00 
10/06/2022 15:04:54 null 0.00 0.00 
10/06/2022 15:04:54 null 0.00 0.00 
10/06/2022 15:11:29 null 0.00 0.00 
10/06/2022 15:23:37 null 0.00 0.00 
10/06/2022 15:29:31 null 0.00 0.00 
10/06/2022 15:31:21 null 0.00 0.00 
10/06/2022 15:32:36 null 0.00 0.00 
10/06/2022 15:33:20 null 0.00 0.00 
10/06/2022 15:33:20 null 0.00 0.00 
10/06/2022 15:35:06 null 0.00 0.00 
10/06/2022 15:35:06 null 0.00 0.00 
10/06/2022 15:35:28 null 0.00 0.00 
10/06/2022 15:35:49 null 0.00 0.00 
10/06/2022 15:36:56 null 0.00 0.00 
10/06/2022 15:36:56 null 0.00 0.00 
10/06/2022 15:40:59 null 0.00 0.00 
10/06/2022 15:41:47 null 0.00 0.00 
10/06/2022 15:42:20 null 0.00 0.00 
